tipo_id;num_identificacion;nombre_completo;nombres;primer_apellido;segundo_apellido;fecha_nacimiento;genero_cliente;edad;grupo_pad;cod_ciudad;ciudad;cod_depto;departamento;celular_1;productos_aprob;disponible;gastos_fliar;disponible_pp;plazo_pp;tasa_pp;monto_pp;cuota_pp;Monto_Lbz_60;Monto_Lbz_72;Monto_Lbz_84;Monto_Lbz_96;Cuota_Lbz_60;Cuota_Lbz_72;Cuota_Lbz_84;Cuota_Lbz_96
C;1072399198;María Dolores Buendía Varela;María Dolores;Buendía;Varela;20/04/1983;FEMENINO;42;0;0;BOGOTA D.C.;11;BOGOTA D.C.;12345;PP/VEH_NUE/VEH_USA/VIV/ROTA/TC/LBZ60/LBZ72/LBZ84/LBZ96;1988543,5;1488543,5;1738543,5;60;1,64;57296740,96;1738543,5;77368483,88;74597265,69;92460390,93;73353990,88;1289474,73;1036073,13;1100718,94;764104,07
C;1960912084;Selena Gibert Vicente;Selena;Gibert;Vicente;06/03/1990;FEMENINO;35;0;0;BOGOTA D.C.;11;BOGOTA D.C.;;PP/VEH_NUE/VEH_USA/VIV/ROTA/TC/LBZ60/LBZ72/LBZ84/LBZ96;1942461,13;1442461,13;1692461,13;60;1,6;81091707,58;1692461,13;74617281,56;80767861,54;73908821,55;77691769,76;1243621,36;1121775,85;879866,92;809289,27
C;1217997819;Esther Palacios Parra;Esther;Palacios;Parra;25/01/1972;FEMENINO;53;0;0;BOGOTA D.C.;11;BOGOTA D.C.;;PP/VEH_NUE/VEH_USA/VIV/ROTA/TC/LBZ60/LBZ72/LBZ84/LBZ96;2144370,09;1644370,0900000000;1894370,0900000000;60;1,67;82040325,38;1894370,0900000000;90970931,35;85465600,99;88385346,19;72543207,02;1516182,19;1187022,24;1052206,5;755658,41
C;1347968147;Emiliana Larrañaga Anguita;Emiliana;Larrañaga;Anguita;01/09/1999;FEMENINO;26;0;0;BOGOTA D.C.;11;BOGOTA D.C.;;PP/VEH_NUE/VEH_USA/VIV/ROTA/TC/LBZ60/LBZ72/LBZ84/LBZ96;2980139,4;2480139,4;2730139,4;60;1,89;58982639,9;2730139,4;89053186,91;75346660,4;74060099,85;79558999,75;1484219,78;1046481,39;881667,86;828739,58
C;1649164856;Trinidad Granados Alfonso;Trinidad;Granados;Alfonso;30/09/1975;FEMENINO;50;0;0;BOGOTA D.C.;11;BOGOTA D.C.;;PP/VEH_NUE/VEH_USA/VIV/ROTA/TC/LBZ60/LBZ72/LBZ84/LBZ96;2128538,17;1628538,17;1878538,17;60;1,52;82021179,24;1878538,17;93604533,04;82050815,35;85189834,85;89619537,5;1560075,55;1139594,66;1014164,7;933536,85
C;1725541411;África Patiño Ayala;África;Patiño;Ayala;07/03/1998;FEMENINO;27;0;0;BOGOTA D.C.;11;BOGOTA D.C.;;PP/VEH_NUE/VEH_USA/VIV/ROTA/TC/LBZ60/LBZ72/LBZ84/LBZ96;2176026,01;1676026,0100000000;1926026,0100000000;60;1,59;76519094,54;1926026,0100000000;87532725,86;98176436,19;83383968,02;75281346,79;1458878,76;1363561,61;992666,29;784180,7
C;1642158976;Cecilia Muro Prada;Cecilia;Muro;Prada;27/11/1976;FEMENINO;49;0;0;BOGOTA D.C.;11;BOGOTA D.C.;;PP/VEH_NUE/VEH_USA/VIV/ROTA/TC/LBZ60/LBZ72/LBZ84/LBZ96;2773798,69;2273798,69;2523798,69;60;1,52;72072028,61;2523798,69;78005391,94;72055621,25;89190441,06;96915529,52;1300089,87;1000772,52;1061790,97;1009536,77
C;1504443321;Viviana Piñol Aguiló;Viviana;Piñol;Aguiló;12/04/1996;FEMENINO;29;0;0;BOGOTA D.C.;11;BOGOTA D.C.;;PP/VEH_NUE/VEH_USA/VIV/ROTA/TC/LBZ60/LBZ72/LBZ84/LBZ96;1162154,07;662154,0700000000;912154,0700000000;60;1,69;68908333,29;912154,0700000000;80152982,75;76640355,79;81973858,92;92878291,3;1335883,05;1064449,39;975879,27;967482,2
C;1625573278;Martina Garay Bertrán;Martina;Garay;Bertrán;11/06/1996;FEMENINO;29;0;0;BOGOTA D.C.;11;BOGOTA D.C.;;PP/VEH_NUE/VEH_USA/VIV/ROTA/TC/LBZ60/LBZ72/LBZ84/LBZ96;1421794,05;921794,05;1171794,05;60;1,91;53532921,53;1171794,05;97539400,61;81750576,49;87211725,57;71883773,22;1625656,68;1135424,67;1038234,83;748789,3
C;1051345863;Juana Iñiguez Cerdán;Juana;Iñiguez;Cerdán;04/09/1987;FEMENINO;38;0;0;BOGOTA D.C.;11;BOGOTA D.C.;;PP/VEH_NUE/VEH_USA/VIV/ROTA/TC/LBZ60/LBZ72/LBZ84/LBZ96;1928725,95;1428725,95;1678725,95;60;1,94;76711031,88;1678725,95;90973810,56;77270551,98;90124393,87;88220268,82;1516230,18;1073202,11;1072909,45;918961,13
